station_name,station_id,station_lat,station_lng
190 Morgan,190 Morgan,40.711071680975735,-73.9320957361997
67 St & Erik Pl,2733.03,40.633385,-74.016562
5 Ave & 66 St,2782.02,40.635679,-74.020005
7 Ave & 62 St,2821.05,40.63556,-74.01298
4 Ave & Shore Road Dr,2832.03,40.637033,-74.022141
57 St & 7 Ave,2861.02,40.638566,-74.010147
63 St & 5 Ave,2872.02,40.63766,-74.01782
3 Ave & Wakeman Pl,2883.03,40.638246,-74.024714
Cortelyou Rd & Stratford Rd,2898.01,40.639627218,-73.968028426
6 Ave & 60 St,2912.08,40.638196,-74.013821
62 St & 4 Ave,2923.01,40.639859,-74.019776
Wakeman Pl & Ridge Blvd,2932.03,40.639421,-74.026823
55 St & 7 Ave,2951.05,40.639673,-74.008957
59 St & 5 Ave,2961.05,40.640107036,-74.015816092
64 St & 3 Ave,2971.02,40.639978,-74.02324
Cortelyou Rd & Argyle Rd,2984.04,40.640396357,-73.965958834
6 Ave & 55 St,3000.08,40.640831,-74.010996
Church Ave & Story St,3007.05,40.642031,-73.981073
59 St & 4 Ave,3011.03,40.641269,-74.017651
65 St & 2 Ave,3019.02,40.640493,-74.02564
Keegan Rd & 2 Ave,3019.03,40.64243139706092,-74.0255355834961
Cortelyou Rd & E 19 St,3022.01,40.642667651,-73.961109042
Matthews Ct & Coney Island Ave,3034.02,40.64235,-73.96951
50 St & 7 Ave,3038.08,40.642501,-74.006055
E 3 St & Church Ave,3046.03,40.643817,-73.977433
55 St & 5 Ave,3050.03,40.642408,-74.013318
12 Ave & 36 St,3056.05,40.643546,-73.986418
E 16 St & Cortelyou Rd,3070.04,40.641776323,-73.96365416
52 St & 6 Ave,3084.05,40.642703,-74.009441
Cortelyou Rd & E 34 St,3087.01,40.64454,-73.94486
Church Ave & McDonald Ave,3090.06,40.642809,-73.979239
57 St & 4 Ave,3093.07,40.642622,-74.016866
Rugby Rd & Beverley Rd,3113.06,40.64437592,-73.965924501
Stratford Rd & Beverley Rd,3113.1,40.643612862,-73.968607306
Stratford Rd & Beverley Rd,3113.10,40.64378,-73.96867
46 St & 7 Ave,3117.05,40.644743,-74.003754
Cortelyou Rd & Albany Ave,3121.01,40.64483,-73.93853
Ocean Pkwy & Church Ave,3125.09,40.644639969,-73.974579811
53 St & 5 Ave,3129.08,40.643371,-74.011884
Beverley Rd & Nostrand Ave,3132.09,40.64507,-73.9488
Chester Ave & 12 Ave,3135.04,40.644367,-73.984276
58 St & 2 Ave,3138.09,40.644512,-74.021506
Bedford Ave & Beverley Rd,3140.09,40.64491,-73.95487
E 17 St & Beverley Rd,3148.08,40.64466,-73.96322
E 19 St & Beverley Rd,3148.09,40.64483,-73.9613
Schenectady Ave & Cortelyou Rd,3155.01,40.64535,-73.93268
Turner Pl & Coney Island Ave,3157.08,40.645228624,-73.970817089
46 St & 6 Ave,3161.02,40.645921,-74.005708
Brooklyn Ave & Beverley Rd,3164.04,40.64575,-73.94331
Albemarle Rd & McDonald Ave,3166.03,40.645074,-73.979681
53 St & 4 Ave,3169.07,40.644862,-74.014531
Tilden Ave & Nostrand Ave,3172.01,40.64683,-73.94933
57 St & 1 Ave,3178.02,40.646424055,-74.023074865
Beverley Rd & Flatbush Ave,3180.02,40.64499,-73.95818
Albemarle Rd & E 21 St,3180.09,40.647283554,-73.959240913
Beverley Rd & E 49 St,3187.01,40.64621,-73.93067
Rugby Rd & Albemarle Rd,3188.04,40.64672,-73.96637
7 Ave & 41 St,3192.05,40.647379,-74.000911
Caton Ave & E 7 St,3199.01,40.647718,-73.973663
48 St & 5 Ave,3202.06,40.646353841,-74.009301305
Brooklyn Ave & Tilden Ave,3205.06,40.64725,-73.94352
Dahill Rd & 12 Ave,3208.07,40.646037,-73.980963
53 St & 2 Ave,3211.06,40.64744,-74.018846
Tilden Ave & Lott St,3214.04,40.64661,-73.95401
58 St & Pier 4,3220.01,40.646475,-74.026081
Ocean Ave & Tennis Ct,3223.07,40.64873,-73.96084
E 48 St & Tilden Ave,3229.07,40.64795,-73.93182
Caton Ave & E 10 St,3230.01,40.648520947,-73.970446229
44 St & 6 Ave,3233.06,40.647105,-74.004483
Ft. Hamilton Pkwy & E 5 St,3240.15,40.649037,-73.97673
47 St & 3 Ave,3243.02,40.649143,-74.012384
New York Ave & Snyder Ave,3246.06,40.64868,-73.94635
52 St & 1 Ave,3253.01,40.649292,-74.020105
Bedford Ave & Albemarle Rd,3256.04,40.64796,-73.9556
E 18 St & Church Ave,3263.01,40.64958,-73.96316
7 Ave & 40 St,3266.01,40.648244739,-74.000097394
E 8 St & Caton Ave,3272.01,40.648099303,-73.972459197
45 St & 4 Ave,3275.03,40.649145,-74.009486
Brooklyn Ave & Snyder Ave,3278.07,40.649047375,-73.943612695
Ft. Hamilton Pkwy & E 2 St,3280.04,40.648005,-73.979342
48 St & 2 Ave,3283.05,40.650176,-74.015606
Rogers Ave & Snyder Ave,3286.07,40.648565412,-73.95220983
E 21 St & Church Ave,3294.03,40.65007,-73.96001
E 49 St & Church Ave,3300.04,40.65182,-73.93135
Snyder Ave & Schenectady Ave,3300.06,40.65,-73.93296
Caton Ave & Argyle Rd,3303.01,40.649681,-73.967829
Caton Ave & Argyle Rd,3303.03,40.65,-73.97
5 Ave & 41 St,3306.03,40.649993062,-74.005163074
Church Ave & E 42 St,3309.04,40.65127,-73.93818
Prospect Ave & Greenwood Ave,3312.07,40.651551604,-73.975982189
44 St & 3 Ave,3315.05,40.651173,-74.011405
E 34 St & Church Ave,3318.05,40.65116,-73.94577
Lott St & Erasmus St,3327.01,40.64949,-73.95408
Caton Ave & St. Pauls Pl,3335.09,40.65153,-73.96277
Church Ave & E 45 St,3341.06,40.65159,-73.93535
Park Cir & East Dr,3344.02,40.651566,-73.972212
41 St & 4 Ave,3347.03,40.651354,-74.007168
E 38 St & Church Ave,3350.04,40.65106,-73.94193
Greenwood Ave & E 4 St,3353.04,40.650739,-73.977739
2 Ave & 44 St,3356.07,40.65230357303063,-74.01344954967499
Church Ave & Nostrand Ave,3359.01,40.65074,-73.94986
Linden Blvd & Nostrand Ave,3359.03,40.652737021,-73.94996953
Caton Ave & Bedford Ave,3368.04,40.652450442,-73.956279278
Parade Pl & Crooke Ave,3376.02,40.651847,-73.965248
Parkside Ave & Parade Pl,3376.04,40.6532,-73.96639
5 Ave & 37 St,3379.03,40.652657,-74.002356
Troy Ave & Linden Blvd,3382.04,40.6533,-73.93644
Prospect Park SW & Greenwood Ave,3385.06,40.652563,-73.972573
41 St & 3 Ave,3388.02,40.652512,-74.008906
E 34 St & Linden Blvd,3391.1,40.65302,-73.94599
E 34 St & Linden Blvd,3391.10,40.65302,-73.94599
McDonald Ave & Vanderbilt St,3394.03,40.651654,-73.981231
Rogers Ave & Lenox Rd,3400.04,40.65378,-73.95273
Ocean Ave & Crooke Ave,3408.05,40.65326,-73.96172
36 St & 4 Ave,3420.01,40.654144,-74.00422
Prospect Ave & Vanderbilt St,3426.02,40.653368,-73.976291
2 Ave & 43 St,3428.04,40.652832747,-74.012779355
New York Ave & Lenox Rd,3431.02,40.65458,-73.94716
Bedford Ave & Clarkson Ave,3439.03,40.65519,-73.9564
Parkside Ave & Ocean Ave,3448.02,40.65485,-73.96217
34 St & 5 Ave,3451.01,40.654143572,-74.00115478
Clarkson Ave & Troy Ave,3454.01,40.65633,-73.93648
Prospect Park SW & Vanderbilt St,3457.03,40.65482,-73.973217
2 Ave & 36 St,3460.01,40.657353401,-74.008454084
36 St & 3 Ave,3460.02,40.655716,-74.006664
2 Av & 37 St,3460.04,40.656326,-74.009627
2 Ave & 39 St,3460.05,40.655722167971554,-74.01000827550888
Clarkson Ave & E 37 St,3463.01,40.655780911,-73.943140507
Clarkson Ave & Nostrand Ave,3472.03,40.6555,-73.94975
Parkside Ave & Flatbush Ave,3480.04,40.655598044,-73.959553719
Clarkson Ave & Utica Ave,3486.02,40.65666,-73.93109
34 St & 4 Ave,3492.04,40.655278,-74.003101
Lenox Rd & E 43 St,3495.08,40.65496,-73.93765
Prospect Park SW & 16 St,3498.09,40.657265,-73.974165
New York Ave & Hawthorne St,3504.02,40.65794,-73.94735
Prospect Park W & 20 St,3507.04,40.656633,-73.983864
Winthrop St & Rogers Ave,3512.03,40.65686,-73.95331
7 Ave & 22 St,3515.01,40.658029,-73.989605
Flatbush Ave & Fenimore St,3520.01,40.65798,-73.96051
29 St & 5 Ave,3523.06,40.657042742,-73.998358607
Winthrop St & Schenectady Ave,3526.04,40.6582,-73.9338
Winthrop St & Schenectady Ave,3526.06,40.65808,-73.93415
2 Ave & 32 St,3532.02,40.659176,-74.006584
Albany Ave & Winthrop St,3535.02,40.657964826,-73.939711094
Winthrop St & Albany Ave,3535.03,40.6577,-73.9398
11 Ave & Prospect Ave,3538.09,40.65629,-73.977335
Winthrop St & Nostrand Ave,3544.02,40.65707,-73.95005
19 St & 8 Ave,3547.04,40.658569098,-73.985634923
Bedford Ave & Fenimore St,3552.09,40.65815,-73.95674
24 St & 5 Ave,3555.04,40.659555,-73.995068
30 St & 4 Ave,3564.04,40.657743,-74.001141
Rutland Rd & E 45 St,3567.05,40.66034,-73.93618
Rutland Rd & Brooklyn Ave,3576.1,40.65969,-73.94517
Windsor Pl & Howard Pl,3579.04,40.65949055893896,-73.98013919591904
Nostrand Ave & Rutland Rd,3585.06,40.6595,-73.95041
7 Ave & 20 St,3588.01,40.658923149,-73.98864305
Maple St & Flatbush Ave,3593.01,40.66026,-73.96045
Flatbush Ave & Lincoln Rd,3593.1,40.66131,-73.96091
4 Ave & 26 St,3596.04,40.660079,-73.998633
Midwood St & Utica Ave,3599.01,40.66124,-73.93164
Maple St & Albany Ave,3608.06,40.66155,-73.93974
