source,target,times
"2000.0","2000.0",2
"BK-A3","BK-A3",36
"BK-A3","BK-A7",7
"BK-A3","BK-B7",1
"BK-A3","BK-C1",5
"BK-A3","BK-C5",4
"BK-A3","BK-C6",5
"BK-A3","BK-C7",2
"BK-A3","BK-C8",4
"BK-A3","BK-C9",3
"BK-A3","BK-D1",1
"BK-A3","BK-D10",47
"BK-A3","BK-D2",6
"BK-A3","BK-D4",1
"BK-A3","BK-D5",7
"BK-A3","BK-D7-1",14
"BK-A3","BK-D7-2",3
"BK-A3","BK-E10",12
"BK-A3","BK-E7",14
"BK-A3","BK-E8",5
"BK-A3","BK-E9-1",22
"BK-A3","BK-E9-2",18
"BK-A3","BK-F10",20
"BK-A3","BK-F2",3
"BK-A3","BK-F7",9
"BK-A3","BK-F8",10
"BK-A3","BK-F9",30
"BK-A3","BK-G4",5
"BK-A3","BK-G7",46
"BK-A3","BK-G8",11
"BK-A3","BK-H10",49
"BK-A3","BK-H3",4
"BK-A3","BK-H6",13
"BK-A3","BK-H8",30
"BK-A3","BK-H9",69
"BK-A3","BK-I5",14
"BK-A3","BK-I6",44
"BK-A3","EM-A1",1
"BK-A3","EM-A2",3
"BK-A3","EM-B0-2",2
"BK-A3","EM-B1",7
"BK-A3","EM-B2",2
"BK-A3","EM-C1",4
"BK-A3","EM-C3",1
"BK-A3","EM-D2",1
"BK-A3","EM-D3",2
"BK-A3","OK-A2",11
"BK-A3","OK-A4",43
"BK-A3","OK-B1",28
"BK-A3","OK-B2",5
"BK-A3","OK-B3",7
"BK-A3","OK-B4",196
"BK-A3","OK-B5",19
"BK-A3","OK-C2",8
"BK-A3","OK-C3",47
"BK-A3","OK-C4",11
"BK-A3","OK-C5",43
"BK-A3","OK-D2",4
"BK-A3","OK-D3-1",5
"BK-A3","OK-D4",17
"BK-A3","OK-D5",15
"BK-A3","OK-E4",8
"BK-A3","OK-E5",3
"BK-A3","OK-F2-2",1
"BK-A3","OK-F3",3
"BK-A3","OK-F4",8
"BK-A3","OK-F5",1
"BK-A3","OK-F6",12
"BK-A3","OK-G2",1
"BK-A3","OK-G3",1
"BK-A3","OK-G4",2
"BK-A3","OK-G5",8
"BK-A3","OK-H2",1
"BK-A3","OK-H4-3",1
"BK-A3","OK-H5",1
"BK-A3","OK-H9-1",9
"BK-A3","OK-H9-2",2
"BK-A3","OK-I3",40
"BK-A3","OK-I5",2
"BK-A3","OK-I6",5
"BK-A3","OK-I8",6
"BK-A3","OK-I9",2
"BK-A3","OK-J3",1
"BK-A3","OK-J5",8
"BK-A3","OK-J6-1",6
"BK-A3","OK-J6-2",3
"BK-A3","OK-K3",1
"BK-A3","OK-K5-1",2
"BK-A3","OK-K5-2",4
"BK-A3","OK-K6",3
"BK-A3","OK-K7",2
"BK-A3","OK-L5",11
"BK-A3","OK-L6",1
"BK-A3","OK-L7",2
