station_name,station_id,station_lat,station_lng
"Old Hastings Monolith","2000.0",37.774570227,-122.414055824
"College Ave at Alcatraz Ave","BK-A3",37.8513755,-122.2525233
"Vine St at Shattuck Ave","BK-A7",37.88022244590679,-122.26959228515624
"Virginia St at Shattuck Ave","BK-B7",37.876572549106854,-122.26952791213989
"Fifth St at Delaware St","BK-C1",37.870407115465376,-122.29967594146727
"North Berkeley BART Station","BK-C5",37.873558,-122.283093
"MLK Jr Way at University Ave","BK-C6",37.8717192,-122.2730677
"Shattuck Ave at Hearst Ave","BK-C7",37.87367621459825,-122.26848721504211
"University Ave at Oxford St","BK-C8",37.8723555,-122.2664467
"Hearst Ave at Euclid Ave","BK-C9",37.8753207,-122.2601554
"Addison St at Fourth St","BK-D1",37.866249,-122.2993708
"Bancroft Way at College Ave","BK-D10",37.8693603,-122.2543374
"10th St at University Ave","BK-D2",37.86906047545393,-122.29339957237242
"West St at University Ave","BK-D4",37.869966707604036,-122.28653311729431
"California St at University Ave","BK-D5",37.87055532905745,-122.27972030639648
"Downtown Berkeley BART","BK-D7-1",37.870139,-122.268422
"Berkeley Civic Center","BK-D7-2",37.8690599,-122.270556
"Haste St at College Ave","BK-E10",37.86641794050319,-122.25379943847655
"Channing Way at San Pablo Ave","BK-E3",37.86281710670802,-122.2902952903697
"Channing Way at Shattuck Ave","BK-E7",37.8658466,-122.2674431
"Fulton St at Bancroft Way","BK-E8",37.8677892,-122.2658964
"Bancroft Way at Telegraph Ave","BK-E9-1",37.8689109,-122.2587857
"Haste St at Telegraph Ave","BK-E9-2",37.8660431,-122.2588044
"Derby St at College Ave","BK-F10",37.8618037,-122.2535687
"Ninth St at Parker St","BK-F2",37.8588682,-122.2912095
"Milvia St at Derby St","BK-F7",37.86012459911685,-122.2693844139576
"Parker St at Fulton St","BK-F8",37.8624644,-122.2647911
"Telegraph Ave at Carleton St","BK-F9",37.8623199,-122.258801
"San Pablo Park","BK-G4",37.85578332030199,-122.28312671184538
"Oregon St at Adeline St","BK-G7",37.8575672,-122.2675583
"Ellsworth St at Russell St","BK-G8",37.85760774739988,-122.26160466670989
"Russell St at College Ave","BK-H10",37.8584732,-122.2532529
"Ninth St at Heinz Ave","BK-H3",37.8539069616438,-122.2896981239319
"Ashby BART Station","BK-H6",37.8524766,-122.2702132
"Fulton St at Ashby Ave","BK-H8",37.855573661828785,-122.26356536149979
"Telegraph Ave at Ashby Ave","BK-H9",37.8559558,-122.2597949
"Woolsey St at Sacramento St","BK-I5",37.8505777,-122.2781754
"Harmon St at Adeline St","BK-I6",37.849735,-122.270582
"EB Test Station","EB Test Station",0.0,0.0
"Emeryville Depot","EM-1",37.830296182687,-122.2894299030304
"59th St at Horton St","EM-A1",37.8409452,-122.2913604
"Doyle St at 59th St","EM-A2",37.8419238,-122.2880451
"2100 Powell St","EM-B0-2",37.83954308266563,-122.2987177222967
"Emeryville Public Market","EM-B1",37.84052116694969,-122.29352831840515
"Stanford Ave at Hollis St","EM-B2",37.8384435,-122.2886647
"65th St at Hollis St","EM-C1",37.8467842,-122.2913761
"53rd St at Hollis St","EM-C2",37.8361823,-122.2871801
"47th St at San Pablo Ave","EM-C3",37.8356703,-122.2811258
"Horton St at 40th St","EM-D2",37.8297046,-122.2876102
"Emeryville Town Hall","EM-D3",37.8312752,-122.2856333
"Adeline St at 40th St","EM-D4",37.8312769,-122.2782669
"Lloyd Lake","GGP-L1.5",37.7699501,-122.4816534
"30th Ave","GGP-L1.7",37.7708604,-122.4899713
"Bowling Green","L1.1",37.768838333333335,-122.45944066666667
"Chain O' Lakes","L1.11",37.76781983,-122.5018675
"South Lake","L1.20",37.76486899,-122.5004981
"Stowe Lake","L1.4",37.77090783333333,-122.47708816666666
"Hellman Hollow","LW1.6",37.769894666666666,-122.484607
"Howard Internal Monolith","LYFT-SF01",37.77,-122.41
"Howard Internal Monolith - IoT","LYFT-SF02",37.77,-122.41
"Telegraph Ave at Alcatraz Ave","OK-A2",37.85022187449679,-122.26017236709595
"62nd St at Claremont Ave","OK-A4",37.8494355,-122.2525406
"Alcatraz Ave at Shattuck Ave","OK-B1",37.849594967776646,-122.26556897163393
"Bushrod Park","OK-B2",37.8465156,-122.2653043
"Telegraph Ave at 58th St","OK-B3",37.8444927,-122.261351
"Rockridge BART Station","OK-B4",37.84427875399067,-122.251900434494
"College Ave at Taft Ave","OK-B5",37.8417999,-122.2515349
"Dover St at 57th St","OK-C2",37.8426295,-122.267738
"55th St at Telegraph Ave","OK-C3",37.8401858,-122.2618225
"Miles Ave at Cavour St","OK-C4",37.8388,-122.258732
"College Ave at Bryant Ave","OK-C5",37.8381269,-122.2512714
"Genoa St at 55th St","OK-D2",37.8396488,-122.2717561
"Shattuck Ave at 55th St","OK-D3-1",37.8403643,-122.2644881
"52nd St at MLK Jr Way","OK-D3-2",37.837369,-122.267656
"Telegraph Ave at 49th St","OK-D4",37.83575,-122.262654
"Broadway at Coronado Ave","OK-D5",37.8357883,-122.2516207
"45th St at MLK Jr Way","OK-E3",37.8335577,-122.2674183
"Shattuck Ave at Telegraph Ave","OK-E4",37.833538871616035,-122.263693665756
"45th St at Manila","OK-E5",37.8332935222321,-122.25622415542603
"Market St at 45th St","OK-F2-2",37.834174,-122.272968
"West St at 40th St","OK-F3",37.8302232,-122.2709501
"MacArthur BART Station","OK-F4",37.8285951,-122.2663493
"Broadway at 40th St","OK-F5",37.8277573,-122.2567156
"40th St at Piedmont Ave","OK-F6",37.825785004382006,-122.25346968515623
"Market St at 40th St","OK-G2",37.8305452,-122.2739367
"37th St at West St","OK-G3",37.82669558640968,-122.27179706096648
"MacArthur Blvd at Telegraph Ave","OK-G4",37.8262863,-122.2651002
"Mosswood Park","OK-G5",37.824892529951114,-122.26043654610294
"32nd St at Adeline St","OK-H2",37.8238474,-122.2811926
"Brockhurst St at San Pablo Ave","OK-H2-2",37.82352279021405,-122.27718830108643
"West St at Brockhurst St","OK-H3-2",37.82268385945021,-122.27292420364392
"34th St at Telegraph Ave","OK-H4-3",37.82246767714513,-122.26597130298616
"Broadway at 30th St","OK-H5",37.8193814,-122.2619284
"Grand Ave at Santa Clara Ave","OK-H9-1",37.8127441,-122.2472152
"Lakeshore Ave at Trestle Glen Rd","OK-H9-2",37.8110807,-122.2432677
"San Pablo Ave at 27th St","OK-I3",37.8178269,-122.2756976
"27th St at MLK Jr Way","OK-I4",37.8170154,-122.2717615
"Telegraph Ave at 27th St","OK-I5",37.816073115011406,-122.26788640022278
"Bay Pl at Vernon St","OK-I6",37.8114831,-122.2605061
"Grand Ave at Perkins St","OK-I8",37.80889393398715,-122.25646018981932
"El Embarcadero at Grand Ave","OK-I9",37.808715,-122.2492512
"24th St at Market St","OK-J3",37.8160598,-122.2782444
"Isabella St at San Pablo Ave","OK-J4",37.814988230424156,-122.27484405040741
"23rd St at Telegraph Ave","OK-J5",37.81258108581741,-122.26857304573059
"Grand Ave at Webster St","OK-J6-1",37.8113768,-122.2651925
"Snow Park","OK-J6-2",37.80781318217903,-122.26449608802795
"21st St at 5th Ave","OK-K10",37.800459411713945,-122.24745869636536
"Foothill Blvd at Harrington Ave","OK-K17",37.77993,-122.2177284
"DeFremery Park","OK-K2",37.8123315,-122.2851712
"Marston Campbell Park","OK-K3",37.8098236,-122.2801923
"San Pablo Ave at MLK Jr Way","OK-K4",37.8113514,-122.2734217
"Telegraph Ave at 19th St","OK-K5-1",37.8087021,-122.2699271
"19th Street BART Station","OK-K5-2",37.809368612134854,-122.26795077323914
"Webster St at 19th St","OK-K6",37.80696976095594,-122.26658821105957
"Madison St at 17th St","OK-K7",37.804036784023594,-122.26240932941435
"2nd Ave at E 18th St","OK-K9",37.800213566969795,-122.25381016731262
"14th St at Mandela Pkwy","OK-L1",37.8107432,-122.2914153
