station_name,station_id,station_lat,station_lng
"9th St & Pennsylvania Ave NW","30200",38.894183,-77.02387416666667
"9th & G St NW","30201",38.898097,-77.023924
"Eads St & 15th St S","31000",38.858971,-77.05323
"Crystal Dr & 20th St S","31002",38.856425,-77.049232
"Crystal Dr & 15th St S","31003",38.861056,-77.049417
"Aurora Hills Cmty Ctr / 18th St & S Hayes St","31004",38.857866,-77.05949
"Pentagon City Metro / 12th St & S Hayes St","31005",38.862303,-77.059936
"Pentagon Row Plaza / Army Navy Dr & Joyce St","31006",38.86331354301248,-77.06341624259947
"Crystal City Metro / 18th St & S Bell St","31007",38.85778509815245,-77.05169767141342
"Crystal Dr & 27th St S","31009",38.848466,-77.051514
"S Glebe Rd & Potomac Ave","31010",38.8426,-77.0502
"Crystal Dr & 23rd St S","31011",38.852929,-77.049723
"Clark St & 26th St S","31012",38.850688,-77.05152
"Eads St & 22nd St S","31013",38.85438051517749,-77.05341160297394
"19th St N & Ft Myer Dr","31014",38.897218,-77.072143
"Wilson Blvd & Ft Myer Dr","31015",38.8946,-77.072305
"Clarendon Blvd & Pierce St","31016",38.893438,-77.076389
"Wilson Blvd & N Uhle St","31017",38.891696,-77.0846
"Rhodes St & 16th St N","31018",38.892164,-77.079375
"Wilson Blvd & N Edgewood St","31019",38.889396070923496,-77.09186241030693
"Wilson Blvd & N Franklin Rd","31020",38.8904,-77.0889
"Clarendon Blvd & N Fillmore St","31021",38.8881,-77.09308
"Clarendon Metro / Wilson Blvd & N Highland St","31022",38.88701007722296,-77.09525674581528
"Fairfax Dr & Wilson Blvd","31023",38.885801,-77.097745
"Virginia Square Metro / Monroe St & 9th St N","31024",38.882788,-77.103148
"Central Library / Quincy St & 10th St N","31025",38.88397,-77.10783
"Washington Blvd & 10th St N","31026",38.884734,-77.093485
"Wilson Blvd & N Quinn St","31027",38.893993,-77.07857
"N Veitch St & Key Blvd","31028",38.893237,-77.086063
"N Veitch St & 20th St N","31029",38.896923,-77.086502
"Langston Blvd & N Adams St","31030",38.89593,-77.089006
"15th St & N Scott St","31031",38.89054,-77.08095
"Washington Blvd & 7th St N","31032",38.88081,-77.090792
"Barcroft Community Center","31033",38.85033657788445,-77.1009886264801
"Fairfax Dr & N Randolph St","31034",38.882629,-77.109366
"N Quincy St & Glebe Rd","31035",38.876393,-77.107735
"George Mason Dr & Wilson Blvd","31036",38.87887,-77.1207
"Ballston Metro / Stuart St & 9th St N","31037",38.881044,-77.111768
"Glebe Rd & 11th St N","31038",38.883921,-77.116817
"Wilson Blvd & N Quincy St","31039",38.880012,-77.107854
"GMU/Fairfax Dr & Kenmore St","31040",38.884702715757356,-77.10030198097229
"Prince St & Union St","31041",38.803124,-77.040363
"Market Square / King St & Royal St","31042",38.804718,-77.043363
"St Asaph & Pendleton St","31043",38.81074147938705,-77.0446327328682
"King St & Patrick St","31044",38.805317,-77.049883
"Commerce St & Fayette St","31045",38.805648,-77.05293
"Henry St & Pendleton St","31046",38.811456,-77.050276
"Braddock Rd Metro North","31047",38.814577,-77.052808
"King St Metro South","31048",38.80576284873485,-77.060626745224
"Fairfax Dr & N Taylor St","31049",38.882425,-77.112754
"Barton St & 10th St N","31050",38.884961,-77.08777
"Arlington Blvd & N Queen St","31051",38.889365,-77.077294
"Potomac Ave & 35th St S","31052",38.844015,-77.050537
"Columbia Pike & S Courthouse Rd","31053",38.863833,-77.080319
"Wakefield High School","31054",38.84714,-77.11252016666667
"28th St & S Meade St","31055",38.846222,-77.069275
"S Troy St & 26th St S","31056",38.847977,-77.075104
"S Four Mile Run Dr & Shirlington Rd","31057",38.8444,-77.085931
"Columbia Pike & Monroe St","31058",38.860343910937175,-77.09367156028748
"S Four Mile Run Dr & Walter Reed Dr","31059",38.84736,-77.095431
"S Arlington Mill Dr & Campbell Ave","31060",38.84232,-77.089555
"S Kenmore St & 24th St S","31061",38.848454,-77.084918
"Roosevelt Island","31062",38.896553,-77.06714
"S George Mason Dr & S Four Mile Run Dr","31063",38.852248,-77.105022
"Gravelly Point","31064",38.865029,-77.039511
"N Pershing Dr & N Wayne St","31065",38.880705,-77.08596
"Columbia Pike & S Orme St","31066",38.86741383333333,-77.07231433333334
"Columbia Pike & S Walter Reed Dr","31067",38.862478,-77.086599
"Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St","31068",38.856319,-77.11153
"N Pershing Dr & N George Mason Dr","31069",38.871822,-77.107906
"Arlington Blvd & Fillmore St","31070",38.873755,-77.089233
"Eads St & 12th St S","31071",38.863012833333336,-77.05474766666667
"31st St & S Woodrow St","31072",38.837846,-77.093478
"Washington Blvd & Walter Reed Dr ","31073",38.87324783333333,-77.08209966666666
"TJ Cmty Ctr / 2nd St & S Old Glebe Rd","31074",38.869418,-77.095596
"Rolfe St & 9th St S","31075",38.866471,-77.076131
"S Randolph St & Campbell Ave","31076",38.84065400672152,-77.08865851163864
"Iwo Jima Memorial / Meade & 14th St N","31077",38.88988666666667,-77.07137
"Arlington Blvd & S George Mason Dr","31078",38.869442,-77.104503
"Langston Blvd & N Cleveland St","31079",38.894941,-77.09169
"Langston Blvd & N Scott St","31080",38.897612,-77.080851
"Duke St & John Carlyle St","31081",38.804378,-77.060866
"Eisenhower Ave & Mill Race Ln","31082",38.801111,-77.068952
"Potomac Greens Dr & Slaters Ln","31083",38.82179166666667,-77.047519
"Ballenger Ave & Dulaney St","31084",38.802677,-77.063562
"Mount Vernon Ave & E Nelson Ave","31085",38.820064,-77.057619
"Mount Vernon Ave & E Del Ray Ave","31086",38.82595,-77.058541
"Monroe Ave & Leslie Ave","31087",38.820932,-77.053096
"Mount Vernon Ave & Kennedy St","31088",38.833077,-77.059821
"Court House Metro / 15th St & N Uhle St","31089",38.890612,-77.084801
"Long Bridge Park / Long Bridge Dr & 6th St S","31090",38.865553,-77.05003
"Joyce St & 16th St S","31091",38.859254,-77.063275
"Langston Blvd & N Monroe St","31092",38.896456,-77.104562
"21st St & N Pierce St","31093",38.89899483333333,-77.0783465
"Langston Blvd & N Kirkwood Rd","31094",38.895377,-77.09713
"Army Navy Dr & S Nash St","31095",38.86215024521491,-77.06812083721161
"Walter Reed Dr & 8th St S","31096",38.86612,-77.08787
"Saint Asaph St & Madison St","31097",38.812718,-77.044097
"King St Metro North / Cameron St","31098",38.80704,-77.059817
"Madison St & N Henry St","31099",38.81348766666667,-77.04943416666667
"19th St & Pennsylvania Ave NW","31100",38.9003,-77.0429
"14th & V St NW","31101",38.9177645,-77.032096
"11th & Kenyon St NW","31102",38.929464,-77.027822
"Adams Mill & Columbia Rd NW","31104",38.9228491613136,-77.04252451658249
"14th & Harvard St NW","31105",38.9268,-77.0322
"Calvert & Biltmore St NW","31106",38.923203,-77.047637
"Lamont & Mt Pleasant NW","31107",38.9319,-77.0388
"4th & M St SW","31108",38.876697,-77.0178975
"7th St & Florida Ave NW","31109",38.91613684808331,-77.02200293540955
"20th St & Florida Ave NW","31110",38.9154,-77.0446
"10th & U St NW","31111",38.9172,-77.0259
"Harvard St & Adams Mill Rd NW","31112",38.927872,-77.043358
"Columbia Rd & Belmont St NW","31113",38.920669,-77.04368
"18th St & Wyoming Ave NW","31114",38.918809,-77.041571
"Columbia Rd & Georgia Ave NW","31115",38.92812111132096,-77.0237946510315
"California St & Florida Ave NW","31116",38.917761,-77.04062
"15th & Euclid St NW","31117",38.92333,-77.0352
"3rd & Elm St NW","31118",38.917622,-77.01597
"14th & Belmont St NW","31119",38.921074,-77.031887
"10th St & Florida Ave NW","31120",38.920387,-77.025672
"Calvert St & Woodley Pl NW","31121",38.923583,-77.050046
"16th & Irving St NW","31122",38.928847,-77.036223
"14th & Girard St NW","31123",38.925284,-77.032375
"14th & Irving St NW","31124",38.928552,-77.032224
"15th & W St NW","31125",38.9190185,-77.034449
"11th & Girard St NW","31126",38.9255675,-77.02710516666667
"22nd & H St NW","31127",38.89892546716842,-77.04885238395946
"23rd & M St NW","31128",38.905303,-77.050264
"15th St & Pennsylvania Ave NW","31129",38.89646474748647,-77.0333808660507
"7th & S St NW","31130",38.914173639930105,-77.02159523963928
"14th & Otis Pl NW","31131",38.93428316666667,-77.03262633333334
"13th & U St NW","31132",38.91693645323652,-77.0296311378479
"20th & Columbia Rd NW","31133",38.918036,-77.045487
"8th & V St NW","31134",38.917716,-77.022684
"16th & Harvard St NW","31135",38.926102,-77.03665
"11th & Clifton St NW","31136",38.9223243445331,-77.02708572149277
"Park Pl & Rock Creek Church Rd NW","31137",38.93713516763736,-77.01912492513657
"4th & College St NW","31138",38.92123296360907,-77.01813519001007
"Massachusetts Ave & Dupont Circle NW","31200",38.9101,-77.0444
"15th & P St NW","31201",38.90980062655191,-77.03442692756653
"14th & R St NW","31202",38.913046,-77.032008
"14th & Rhode Island Ave NW","31203",38.9086,-77.0323
"20th & E St NW","31204",38.8963,-77.045
"21st & I St NW","31205",38.90071062547463,-77.04644858837128
"19th & E Street NW","31206",38.8952,-77.0436
"Georgia Ave & Fairmont St NW","31207",38.924784585266956,-77.02232748270035
"M St & New Jersey Ave SE","31208",38.876375833333334,-77.00361516666666
"1st & N St SE","31209",38.875022735559995,-77.00575411319733
"17th St & Rhode Island Ave NW","31210",38.906767059408295,-77.03862726688385
"Kennedy Center","31211",38.897293,-77.05557
"New Hampshire Ave & Ward Pl NW","31212",38.90571079190728,-77.0473176240921
"17th & K St NW","31213",38.90276,-77.03863
"17th & Corcoran St NW","31214",38.9121,-77.0387
"Georgetown Harbor / 30th St NW","31215",38.902314,-77.0591415
"14th St & New York Ave NW","31216",38.899632,-77.031686
"USDA / 12th & C St SW","31217",38.88627694506511,-77.02824175357819
"L'Enfant Plaza / 7th & C St SW","31218",38.886266,-77.022241
"10th St & Constitution Ave NW","31219",38.893028,-77.026013
"US Dept of State / Virginia Ave & 21st St NW","31220",38.894919,-77.046587
"18th & M St NW","31221",38.90506687455313,-77.04177886247635
"New York Ave & 15th St NW","31222",38.89903234416315,-77.03335404396057
"Convention Center / 7th & M St NW","31223",38.905696,-77.022099
"18th & L St NW","31224",38.903741450919384,-77.04245209693909
